a	a:
leyndardómsfullur	l ei n t a r t ou m s f Y t l Y r
leyndardómurinn	l ei n t a r t ou m Y r I n
leyndi	l ei n t I
leyndir	l ei n t I r
leyndist	l ei n t I s t
leyndri	l ei n t r I
leyndu	l ei n t Y
leyndum	l ei n t Y m
leyndust	l ei n t Y s t
leyni	l ei: n I
leynilegum	l ei: n I l E G Y m
leynilögregluna	l ei: n I l 9 G r E k l Y n a
leynir	l ei: n I r
leynist	l ei: n I s t
leynistaðinn	l ei: n I s t a D I n
leyniþjónustuna	l ei: n I T j ou: n Y s t Y n a
leyniþjónustunnar	l ei: n I T j ou: n Y s t Y n a r
leyniþjónustunni	l ei: n I T j ou: n Y s t Y n I
leynst	l ei n s t
leynt	l ei n_0 t
leynum	l ei: n Y m
leysa	l ei: s a
leysast	l ei: s a s t
leysi	l ei: s I
leysir	l ei: s I r
leysist	l ei: s I s t
leyst	l ei s t
leysti	l ei s t I
leystir	l ei s t I r
leystist	l ei s t I s t
leystu	l ei s t Y
leystur	l ei s t Y r
leystust	l ei s t Y s t
leysum	l ei: s Y m
leyti	l ei: t I
leytinu	l ei: t I n Y
leðjan	l E D j a n
leðju	l E D j Y
leðjunni	l E D j Y n I
leðri	l E D r I
leðrið	l E D r I D
leður	l E: D Y r
leðurbelgur	l E: D Y r p E l k Y r
leðurblökuungi	l E: D Y r p l 9: k Y u J c I
leðurblöðkumynd	l E: D Y r p l 9 D k Y m I n t
leðurhúfan	l E: D Y r h u: a n
leðurjakkann	l E: D Y r j a h k a n
leðurjakkanum	l E: D Y r j a h k a n Y m
leðurstígvélum	l E: D Y r s t i G v j E l Y m
leðursófa	l E: D Y r s ou: f a
leðuról	l E: D Y r ou: l
leó	l E: ou
leópoldsson	l E: ou p O l s O: n
leósdóttir	l E: ou s t ou h t I r
leósson	l E: ou s O: n
lifa	l I: v a
lifanda	l I: v a n t a
lifandi	l I: v a n t I
lifað	l I: v a D
lifenda	l I: v E n t a
lifendur	l I: v E n t Y r
lifi	l I: v I
lifir	l I: v I r
lifna	l I p n a
lifnar	l I p n a r
lifnaðarháttum	l I p n a D a r h au h t Y m
lifnaðarhætti	l I p n a D a r h ai h t I
lifnaði	l I p n a D I
lifrar	l I v r a r
lifrarbólgu	l I v r a r p ou l k Y
lifrarpylsu	l I v r a r_0 p_h I l s Y
lifrina	l I v r I n a
lifrinni	l I v r I n I
lifum	l I v Y m
lifur	l I v Y r
lifði	l I v D I
lifðir	l I v D I r
lifðu	l I v D Y
lifðum	l I v D Y m
ligg	l I k
liggi	l I c I
liggja	l I c a
liggjandi	l I c a n t I
liggjum	l I c Y m
liggur	l I k Y r
liggðu	l I G D Y
lilja	l I l j a
lilju	l I l j Y
lilla	l I l a
lillý	l I l i
lim	l I: m
lima	l I: m a
limakoss	l I: m a k_h O s
limgerði	l I m c E r D I
limina	l I: m I n a
limma	l I m a
limman	l I m a n
limmu	l I m Y
limmuna	l I m Y n a
limmunni	l I m Y n I
limra	l I m r a
limum	l I: m Y m
limur	l I: m Y r
limurinn	l I: m Y r I n
lina	l I: n a
linast	l I: n a s t
linað	l I: n a D
lind	l I n t
linda	l I n t a
lindar	l I n t a r
lindgren	l I n t k r E n
lindin	l I n t I n
lindina	l I n t I n a
lindinni	l I n t I n I
lindir	l I n t I r
lindström	l I n t s t r 9: m
lindu	l I n t Y
lindubuff	l I n t Y p Y f
linduson	l I n t Y s O: n
link	l I n_0 k
linka	l I N_0 k a
linkur	l i N_0 k Y r
linnet	l I n E t
linni	l I n I
linnir	l I n I r
linnt	l I n_0 t
linnti	l I n_0 t I
linnulaust	l I n Y l 9Y: s t
linsa	l I n s a
linsan	l I n s a n
linsu	l I n s Y
linsuna	l I n s Y n a
linsunni	l I n s Y n I
linsur	l I n s Y r
lint	l I n_0 t
linux	l i: n Y k s
lippu	l I h p Y
lipran	l I: p r a n
liprari	l I: p r a r I
lipur	l I: p Y r
lipurt	l I: p Y r_0 t
lipurð	l I: p Y r D
lirfur	l I r v Y r
lirfurnar	l I r v Y t n a r
lirfustigi	l I r v Y s t i j I
lissabon	l I s a p O n
list	l I s t
lista	l I s t a
listahátíðar	l I s t a h au: t i D a r
listakonuna	l I s t a k O: n Y n a
listakonunnar	l I s t a k O: n Y n a r
listakonunni	l I s t a k_h O: n Y n I
listakonurnar	l I s t a k_h O n Y t n a r
listamennina	l I s t a m E n I n a
listann	l I s t a n
listanna	l I s t a n a
listans	l I s t a n s
listanum	l I s t a n Y m
listar	l I s t a r
listarinnar	l I s t a r I n a r
listasumars	l I s t a s Y m a r_0 s
listaverka	l I s t a v E r_0 k a
listaverkið	l I s t a v E r_0 c I D
listaverkum	l I s t a v E r_0 k Y m
listfengi	l I s t f ei N c I
listi	l I s t I
listigarð	l I s t I k a r D
listilega	l I s t I l E G a
listin	l I s t I n
listina	l I s t I n a
listinn	l I s t I n
listinni	l I s t I n I
listir	l I s t I r
listmunir	l I s t m Y n I r
listmálara	l I s t m au l a r a
listmálari	l I s t m au l a r I
listræn	l I s t r ai n
listræna	l I s t r ai n a
listrænan	l I s t r ai n a n
listrænar	l I s t r ai n a r
listrænn	l I s t r ai t n_0
listrænni	l I s t r ai t n_0 I
listrænt	l I s t r ai n_0 t
listrænum	l I s t r ai n Y m
listsköpunar	l I s t s k 9 p Y n a r
listum	l I s t Y m
lit	l I: t
lita	l I: t a
litamúrkerfi	l I: t a m u r_0 c_h E r v I
litar	l I: t a r
litarendurgjafarstuðul	l I: t a r E n t Y r c a v a r_0 s t Y: D Y l
litarmerkingu	l I: t a r m E r_0 c i N k Y
litasamsetningin	l I: t a s a m s E h t n i J c I n
litast	l I: t a s t
litavalið	l I: t a v a: l I D
litað	l I: t a D
litaði	l I: t a D I
litaðra	l I: t a D r a
litaður	l I: t a D Y r
litbrigði	l I: t p r I G D I
litbrigðum	l I: t p r I G D Y m
litfagurt	l I: t f a G Y r_0 t
lithimna	l I: t h I m n a
lithvolfinu	l I: t k_h v O l v I n Y
litháen	l I: t h au E n
litháens	l I: t h au E n s
lithúðin	l I: t h u D I n
liti	l I: t I
litin	l I: t I n
litina	l I: t I n a
litir	l I: t I r
litirnir	l I: t I t n I r
litist	l I: t I s t
litla	l I h t l a
litlar	l I h t l a r
litlaus	l I: t l 9Y s
litlausar	l I: t l 9Y s a r
litlaust	l I: t l 9Y s t
litlausu	l I: t l 9Y s Y
litli	l I h t l I
litlir	l I h t l I r
litlu	l I h t l Y
litlum	l I h t l Y m
litninga	l I h t n i N k a
litningum	l I h t n i N k Y m
litnum	l I h t n Y m
litrík	l I: t r i k
litríkastir	l I: t r i k a s t I r
litríkt	l I: t r i x t
litríku	l I: t r i k Y
litríkum	l I: t r i k Y m
litríkur	l I: t r i k Y r
litróf	l I: t r ou v
litrófi	l I: t r ou v I
litskrúðug	l I: t s k r u D Y G
litu	l I: t Y
litum	l I: t Y m
litun	l I: t Y n
liturinn	l I: t Y r I n
lituð	l I: t Y D
lituðu	l I: t Y D Y
lið	l I: D
liða	l I: D a
liðagigtar	l I: D a c I x t a r
liðanna	l I: D a n a
liðar	l I: D a r
liðast	l I: D a s t
liðaða	l I: D a D a
liðaðist	l I: D a D I s t
liðhlaup	l I D l_0 9Y p
liðhlaupar	l I D l_0 9Y p a r
liðhlaupi	l I D l_0 9Y p I
liði	l I: D I
liðin	l I: D I n
liðina	l I: D I n a
liðinn	l I: D I n
liðinna	l I: D I n a
liðinnar	l I: D I n a r
liðinni	l I: D I n I
liðins	l I: D I n s
liðinu	l I: D I n Y
liðir	l I: D I r
liðið	l I: D I D
liðka	l I D k a
liðlangan	l I D l au N k a n
liðlega	l I D l E G a
liðna	l I D n a
liðnar	l I D n a r
liðnir	l I D n I r
liðnu	l I D n Y
liðnum	l I D n Y m
liðpokans	l I D p_h O k a n s
liðs	l I D s
liðsafla	l I D s a p l a
liðsauka	l I D s 9Y k a
liðsauki	l I D s 9Y c I
liðsforingi	l I D s f O r i J c I
liðsforingjann	l I D s f O r i J c a n
liðsforingjanum	l I D s f O r i J c a n Y m
liðsforingjar	l I D s f O r i J c a r
liðsheild	l I D s h ei l t
liðsheildin	l I D s h ei l t I n
liðsinna	l I D s I n a
liðsinni	l I D s I n I
liðsinnir	l I D s I n I r
liðsinnis	l I D s I n I s
liðsins	l I D s I n s
liðsmanna	l I D s m a n a
liðsmaður	l I D s m a D Y r
liðsmenn	l I D s m E n
liðsmönnum	l I D s m 9 n Y m
liðssafnað	l I D s a p n a D
liðsstyrk	l I D s t I r_0 k
liðssveit	l I D s v ei t
liðtækur	l I D t ai k Y r
liðu	l I D Y
liðum	l I D Y m
liðunum	l I D O n Y m
liður	l I D Y r
liðurinn	l I D Y r I n
liðuðust	l I D Y D Y s t
liðveislu	l I D v ei s t l Y
liðþjálfa	l I D T j au l v a
liðþjálfann	l I D T j au l v a n
liðþjálfanum	l I D T j au l v a n Y m
liðþjálfinn	l I D T j au l v I n
ljá	l j au:
ljáinn	l j au: I n
ljær	l j ai: r
ljóma	l j ou: m a
ljómandi	l j ou: m a n t I
ljómar	l j ou: m a r
ljómaði	l j ou: m a D I
ljómi	l j ou: m I
ljóminn	l j ou: m I n
ljón	l j ou: n
ljónin	l j ou: n I n
ljónið	l j ou: n I D
ljónshjarta	l j ou n s C a r_0 t a
ljós	l j ou: s
ljósa	l j ou: s a
ljósanna	l j ou: s a n a
ljósar	l j ou: s a r
ljósara	l j ou: s a r a
ljósari	l j ou: s a r I
ljósastaur	l j ou: s a s t 9Y: r
ljósavélin	l j ou: s a v j E: l I n
ljósbláa	l j ou: s p l au a
ljósblárri	l j ou: s p l au r I
ljósbláu	l j ou: s p l au Y
ljósbláum	l j ou: s p l au Y m
ljósgráum	l j ou: s k r au Y m
ljóshærð	l j ou: s h ai r D
ljóshærða	l j ou: s h ai r D a
ljóshærði	l j ou: s h ai r D I
ljósi	l j ou: s I
ljósin	l j ou: s I n
ljósinu	l j ou: s I n Y
ljósir	l j ou: s I r
ljósið	l j ou: s I D
ljóskan	l j ou s k a n
ljósmæður	l j ou: s m ai D Y r
ljósmóðirin	l j ou: s m ou D I r I n
ljósmóðurina	l j ou: s m ou D Y r I n a
ljósrauðum	l j ou: s r 9Y D Y m
ljósri	l j ou: s r I
ljóss	l j ou s
ljóssins	l j ou s I n s
ljóst	l j ou s t
ljóstra	l j ou s t r a
ljóstraði	l j ou s t r a D I
ljósturninum	l j ou: s t Y r t n I n Y m
ljósu	l j ou: s Y
ljósum	l j ou: s Y m
ljósunum	l j ou: s O n Y m
ljósvakans	l j ou: s v a k a n s
ljósvallagötuna	l j ou: s v a t l a k 9: t Y n a
ljósvallagötunni	l j ou: s v a t l a k 9: t Y n I
ljót	l j ou: t
ljóta	l j ou: t a
ljótan	l j ou: t a n
ljótar	l j ou: t a r
ljótari	l j ou: t a r I
ljótir	l j ou: t I r
ljótt	l j ou h t
ljótum	l j ou: t Y m
ljótur	l j ou: t Y r
ljóð	l j ou: D
ljóða	l j ou: D a
ljóðabókina	l j ou: D a p ou: c I n a
ljóðanna	l j ou: D a n a
ljóði	l j ou: D I
ljóðin	l j ou: D I n
ljóðinu	l j ou: D I n Y
ljóðið	l j ou: D I D
ljóðlínum	l j ou: D l i n Y m
ljóðræn	l j ou: D r ai n
ljóðræna	l j ou: D r ai n a
ljóðrænu	l j ou: D r ai n Y
ljóðrænum	l j ou: D r ai n Y m
ljóðsins	l j ou: D s I n s
ljóðskáldið	l j ou: D s k au l t I D
ljóðum	l j ou: D Y m
ljóðunum	l j ou: D O n Y m
ljúf	l j u: v
ljúfa	l j u: v a
ljúfan	l j u: v a n
ljúfar	l j u: v a r
ljúfasta	l j u: v a s t a
ljúffeng	l j u f ei N k
ljúffengar	l j u f ei N k a r
ljúffengum	l j u f ei N k Y m
ljúfi	l j u: v I
ljúfir	l j u: v I r
ljúflega	l j u v l E G a
ljúflinga	l j u v l i N k a
ljúflingur	l j u v l i N k Y r
ljúfmannlega	l j u v m a n l E G a
ljúfmenni	l j u v m E n I
ljúfmennsku	l j u v m E n s k Y
ljúfs	l j u f s
ljúfsáru	l j u f s au r Y
ljúft	l j u f t
ljúfu	l j u v Y
ljúfum	l j u v Y m
ljúfur	l j u v Y r
ljúga	l j u: a
ljúgi	l j u: I
ljúka	l j u: k a
ljúkast	l j u: k a s t
ljúki	l j u: c I
ljúktu	l j u x t Y
ljúkum	l j u: k Y m
loddarar	l O t a r a r
loddi	l O t I
loddu	l O t Y
lof	l O: v
lofa	l O: v a
lofar	l O: v a r
lofað	l O: v a D
lofaði	l O: v a D I
lofaðir	l O: v a D I r
lofaðu	l O: v a D Y
lofaður	l O: v a D Y r
lofgjörð	l O v c 9 r D
lofgjörðarhópur	l O v c 9 r D a r h ou: p Y r
lofi	l O: v I
lofið	l O: v I D
loforð	l O: v O r D
loforði	l O: v O r D I
loforðið	l O: v O r D I D
loforðum	l O: v O r D Y m
lofsamlega	l O f s a m l E G a
lofsorði	l O f s O r D I
lofsvert	l O f s v E r_0 t
loft	l O f t
lofta	l O f t a
loftbelg	l O f t p E l k
loftborun	l O f t p O r Y n
loftfarinu	l O f t f a r I n Y
loftfirrðrar	l O f t f I r D r a r
lofthjúpinn	l O f t C u p I n
lofthjúpnum	l O f t C u h p n Y m
lofthjúps	l O f t C u p s
lofthræddur	l O f t r_0 ai t Y r
lofti	l O f t I
loftin	l O f t I n
loftinu	l O f t I n Y
loftið	l O f t I D
loftkastalanum	l O f t k a s t a l a n Y m
loftkastalinn	l O f t k a s t a l I n
loftköstum	l O f t k 9 s t Y m
loftleiða	l O f t l ei D a
loftleiðum	l O f t l ei D Y m
loftljósið	l O f t l j ou s I D
loftmyndar	l O f t m I n t a r
loftneti	l O f t n E t I
loftop	l O f t O p
loftrofar	l O f t r O v a r
loftrýmd	l O f t r i m t
lofts	l O f t s
loftsalurinn	l O f t s a l Y r I n
loftsdóttir	l O f t s t ou h t I r
loftsins	l O f t s I n s
loftskeytastöðinni	l O f t s k ei t a s t 9: D I n I
loftslagi	l O f t s t l ai j I
loftslagið	l O f t s t l ai j I D
loftsson	l O f t s O n
loftum	l O f t Y m
loftur	l O f t Y r
loftárásirnar	l O f t au r au s I t n a r
loftárásum	l O f t au r au s Y m
lofum	l O f Y m
lofuð	l O: v Y D
loga	l O G a
logana	l O k a n a
logandi	l O G a n t I
logann	l O G a n
loganum	l O: G a n Y m
logar	l O G a r
loggaði	l O k a D I
logi	l Oi j I
logn	l O k n_0
lognast	l O k n a s t
logni	l O k n I
logninu	l O k n I n Y
lognmjöll	l O k n m j 9 t l_0
lognmolla	l O k n m O t l a
logum	l O: G Y m
logunum	l O: G O n Y m
loguðu	l O: G Y D Y
lok	l O: k
loka	l O: k a
lokahnykkinn	l O: k a n_0 I h c I n
lokakaflanum	l O: k a k a p l a n Y m
lokamínútunni	l O: k a m i: n u t Y n I
lokasprettinum	l O: k a s p r E h t I n Y m
lokaspretturinn	l O: k a s p r E h t Y r I n
lokast	l O: k a s t
lokastaðan	l O: k a s t a: D a n
lokað	l O: k a D
lokaða	l O: k a D a
lokaðar	l O: k a D a r
lokaði	l O: k a D I
lokaðir	l O: k a D I r
lokaðist	l O: k a D I s t
lokaðri	l O: k a D r I
lokaður	l O: k a D Y r
loki	l O: c I
lokinni	l O: c I n I
lokinu	l O: c I n Y
lokið	l O: c I D
lokka	l O h k a
lokkana	l O h k a n a
lokkandi	l O h k a n t I
lokkar	l O h k a r
lokkinn	l O h c I n
lokkum	l O h k Y m
lokkur	l O h k Y r
loknu	l O h k n Y
loknum	l O h k n Y m
loks	l O k s
loksins	l O k s I n s
lokugalla	l O: k Y k a t l a
lokum	l O: k Y m
lokun	l O: k Y n
lokuna	l O: k Y n a
lokunni	l O: k Y n I
lokuð	l O: k Y D
lokuðu	l O: k Y D Y
lokuðum	l O: k Y D Y m
lokuðust	l O: k Y D Y s t
lollý	l O l i
lon	l O: n
london	l O n t O n
lopapeysu	l O: p a p ei: s Y
loppu	l O h p Y
loppum	l O h p Y m
loppunum	l O h p O n Y m
loppurnar	l O h p Y t n a r
los	l O: s
losa	l O: s a
losandi	l O: s a n t I
losar	l O: s a r
losað	l O: s a D
losaði	l O: s a D I
losaðu	l O: s a D Y
losna	l O s t n a
losnar	l O s t n a r
losnað	l O s t n a D
losnaði	l O s t n a D I
losni	l O s t n I
losnum	l O s t n Y m
losnuðu	l O s t n Y D Y
lost	l O s t
losta	l O s t a
lostahross	l O s t a r_0 O s
lostbuxur	l O s t p Y k s Y r
losti	l O s t I
lostin	l O s t I n
lostinn	l O s t I n
lostinni	l O s t I n I
lostið	l O s t I D
lostnir	l O s t n I r
lostæti	l O s t ai t I
losun	l O: s Y n
losunar	l O: s Y n a r
losuðu	l O: s Y D Y
lotinn	l O: t I n
lotið	l O: t I D
lotning	l O h t n i N k
lotningu	l O h t n i N k Y
lotta	l O h t a
lotterí	l O h t E r i
lottó	l O h t ou
lotu	l O: t Y
lotunnar	l O: t Y n a r
lotunni	l O: t Y n I
lovísa	l O: v i s a
lovísu	l O: v i s Y
loðin	l O: D I n
loðið	l O: D I D
loðna	l O D n a
loðnan	l O D n a n
loðnar	l O D n a r
loðnir	l O D n I r
loðnu	l O D n Y
loðnufarmurinn	l O D n Y f a r m Y r I n
loðnum	l O D n Y m
loðnuna	l O D n Y n a
loðnunni	l O D n Y n I
lubba	l Y p a
lubbann	l Y p a n
lufsast	l Y f s a s t
lugt	l Y k t
lugu	l Y: G Y
lukka	l Y h k a
lukku	l Y h k Y
lukkunnar	l Y h k Y n a r
lukkupottinn	l Y h k Y p O h t I n
luktar	l Y x t a r
luktinni	l Y x t I n I
luktir	l Y x t I r
luktum	l Y x t Y m
luktust	l Y x t Y s t
luku	l Y: k Y
lukum	l Y: k Y m
lukust	l Y: k Y s t
lumaði	l Y: m a D I
lummur	l Y m Y r
lund	l Y n t
lunda	l Y n t a
lundarreykjadal	l Y n t a r ei c a t a: l
lundarskóla	l Y n t a s k ou l a
lundhörð	l Y n t h 9 r D
lundi	l Y n t I
lundinn	l Y n t I n
lundúna	l Y n t u n a
lundúnir	l Y n t u n I r
lundúnum	l Y n t u n Y m
lungann	l u N k a n
lungna	l u N n a
lungnarýmd	l u N n a r i m t
lungu	l u N k Y
lungum	l u N k Y m
lungun	l u N k Y n
lungunum	l u N k O n Y m
luntalega	l Y n_0 t a l E G a
lutu	l Y: t Y
lux	l u k s
lyf	l I: v
lyfi	l I: v I
lyfin	l I: v I n
lyfinu	l I: v I n Y
lyfið	l I: v I D
lyfja	l I v j a
lyfjaefnanna	l I v j a E p n a n a
lyfjafyrirtækið	l I v j a f I: r I r t ai: c I D
lyfjahvörf	l I v j a k_h v 9 r v
lyfjanna	l I v j a n a
lyfjarisinn	l I v j a r I: s I n
lyfjatörn	l I v j a t 9 r t n_0
lyfjaverslunar	l I v j a v E s t l Y n a r
lyfjum	l I v j Y m
lyfs	l I f s
lyfsalinn	l I f s a l I n
lyfseðla	l I f s E D l a
lyfsins	l I f s I n s
lyft	l I f t
lyfta	l I f t a
lyftan	l I f t a n
lyftaranum	l I f t a r a n Y m
lyftast	l I f t a s t
lyfti	l I f t I
lyftir	l I f t I r
lyftirðu	l I f t I r D Y
lyftist	l I f t I s t
lyftu	l I f t Y
lyftum	l I f t Y m
lyftuna	l I f t Y n a
lyftunni	l I f t Y n I
lyftunum	l I f t O n Y m
lyftur	l I f t Y r
lyftust	l I f t Y s t
lygalaupur	l I: G a l 9Y: p Y r
lygar	l I: G a r
lygara	l I: G a r a
lygarar	l I: G a r a r
lygari	l I: G a r I
lygn	l I k n_0
lygnan	l I k n a n
lygndi	l I N t I
lygnir	l I k n I r
lygnum	l I k n Y m
lygum	l I: G Y m
lygð	l I G D
lyki	l I: c I
lykil	l I: c I l
lykilinn	l I: c I l I n
lykill	l I: c I t l_0
lykillinn	l I: c I t l I n
lykilorðin	l I: c I l O r D I n
lykkju	l I h c Y
lykkjur	l I h c Y r
lykla	l I h k l a
lyklakippukeðju	l I h k l a c_h I h p Y c_h E D j Y
lyklana	l I h k l a n a
lyklar	l I h k l a r
lyklarnir	l I h k l a t n I r
lykli	l I h k l I
lyklinum	l I h k l I n Y m
lyklum	l I h k l Y m
lyklunum	l I h k l O n Y m
lykt	l I x t
lykta	l I x t a
lyktar	l I x t a r
lyktaði	l I x t a D I
lyktin	l I x t I n
lyktina	l I x t I n a
lyktinni	l I x t I n I
lyktir	l I x t I r
lyktuðu	l I x t Y D Y
lykur	l I: k Y r
lymskulega	l I m s k Y l E G a
lynda	l I n t a
lyndi	l I n t I
lyng	l i N k
lyngi	l i J c I
lyngið	l i J c I D
lyngþúfur	l i N k T u v Y r
lyppast	l I h p a s t
lyppaðist	l I h p a D I s t
lystarlaus	l I s t a r l 9Y: s
lystarstol	l I s t a r s t O l
lysti	l I s t I
lystir	l I s t I r
lystisemdir	l I s t I s E m t I r
lág	l au:
lága	l au: a
lágafellskirkja	l au: a f E l s c I r_0 c a
lágafellskirkju	l au: a f E l s c I r_0 c Y
lágafellsskóla	l au: a f E l s k ou: l a
lágafellssóknar	l au: a f E l s ou h k n a r
lágan	l au: a n
lágar	l au: a r
lágir	l au: I r
lágkúru	l au: k u r Y
láglendi	l au: l E n t I
lágmark	l au: m a r_0 k
lágmarka	l au: m a r_0 k a
lágmarki	l au: m a r_0 c I
lágmarks	l au: m a r_0 k s
lágmælt	l au: m ai l_0 t
lágmæltur	l au: m ai l_0 t Y r
lágmúla	l au: m u l a
lágnættið	l au: n ai h t I D
lágreist	l au: r ei s t
lágt	l au h t
lágu	l au: Y
lágum	l au: Y m
lágur	l au: Y r
lágvaxin	l au: v a k s I n
lágvaxnari	l au: v a k s t n a r I
lágvaxni	l au: v a k s t n I
lágvært	l au: v ai r_0 t
lágværu	l au: v ai r Y
lágværum	l au: v ai r Y m
lái	l au: I
láku	l au: k Y
lán	l au: n
lána	l au: n a
lánanna	l au: n a n a
lánar	l au: n a r
lánast	l au n a s t
lánað	l au: n a D
lánaða	l au: n a D a
lánaðan	l au: n a D a n
lánaðar	l au: n a D a r
lánaði	l au: n a D I
lánaðist	l au: n a D I s t
lánaður	l au: n a D Y r
láni	l au: n I
lánin	l au: n I n
lánið	l au: n I D
láns	l au n s
lánsamir	l au n s a m I r
lánsfé	l au n s f j E
lántökur	l au n t 9 k Y r
lánum	l au: n Y m
lánuð	l au: n Y D
lára	l au: r a
láru	l au: r Y
lárus	l au: r Y s
lárusar	l au: r Y s a r
lárétt	l au: r j E h t
lás	l au: s
lásinn	l au: s I n
lásnum	l au s t n Y m
lásu	l au: s Y
lásum	l au: s Y m
lát	l au: t
láta	l au: t a
látast	l au: t a s t
látbragði	l au: t p r a G D I
láti	l au: t I
látin	l au: t I n
látinn	l au: t I n
látinna	l au: t I n a
látir	l au: t I r
látist	l au: t I s t
látið	l au: t I D
látlaus	l au: t l 9Y s
látlausa	l au: t l 9Y s a
látlausan	l au: t l 9Y s a n
látlausar	l au: t l 9Y s a r
látlaust	l au: t l 9Y s t
látlausu	l au: t l 9Y s Y
látlausum	l au: t l 9Y s Y m
látleysi	l au: t l ei s I
látna	l au h t n a
látnar	l au h t n a r
látni	l au h t n I
látnir	l au h t n I r
látnu	l au h t n Y
látnum	l au h t n Y m
láttu	l au h t Y
látum	l au: t Y m
látunum	l au: t O n Y m
látæði	l au: t ai D I
látúni	l au: t u n I
lávarður	l au: v a r D Y r
láð	l au: D
láði	l au: D I
láðist	l au: D I s t
láðst	l au: D s t
læ	l ai:
læddi	l ai t I
læddist	l ai t I s t
læddumst	l ai t Y m s t
lægi	l ai j I
lægja	l ai j a
lægju	l ai j Y
lægra	l ai G r a
lægri	l ai G r I
lægst	l ai x s t
lægsta	l ai x s t a
lægstu	l ai x s t Y
lægstur	l ai x s t Y r
lægt	l ai x t
lægð	l ai G D
lægði	l ai G D I
læk	l ai: k
læki	l ai: c I
lækinn	l ai: c I n
lækir	l ai: c I r
lækjarbotnum	l ai: c a r p O h t n Y m
lækjarskóla	l ai: c a r s k ou: l a
lækjartorgi	l ai: c a r t O r c I
lækka	l ai h k a
lækkandi	l ai h k a n t I
lækkanir	l ai h k a n I r
lækkar	l ai h k a r
lækkað	l ai h k a D
lækkaði	l ai h k a D I
lækkaðir	l ai h k a D I r
lækkaður	l ai h k a D Y r
lækki	l ai h c I
lækkun	l ai h k Y n
lækkunar	l ai h k Y n a r
lækkunin	l ai h k Y n I n
lækkuð	l ai h k Y D
lækkuðu	l ai h k Y D Y
lækna	l ai h k n a
læknana	l ai h k n a n a
læknanna	l ai h k n a n a
læknar	l ai h k n a r
læknarnir	l ai h k n a t n I r
læknavaktar	l ai h k n a v a x t a r
læknavaktin	l ai h k n a v a x t I n
læknað	l ai h k n a D
læknaði	l ai h k n a D I
lækni	l ai h k n I
lækning	l ai h k n i N k
lækninga	l ai h k n i N k a
lækningar	l ai h k n i N k a r
lækningu	l ai h k n i N k Y
lækningum	l ai h k n i N k Y m
lækninn	l ai h k n I n
lækninum	l ai h k n I n Y m
læknir	l ai h k n I r
læknirinn	l ai h k n I r I n
læknis	l ai h k n I s
læknisfræðinnar	l ai h k n I s f r ai: D I n a r
læknisins	l ai h k n I s I n s
læknum	l ai h k n Y m
lær	l ai: r
læra	l ai: r a
lærdóm	l ai r t ou m
lærdómi	l ai r t ou m I
lærdómur	l ai r t ou m Y r
læri	l ai: r I
lærin	l ai: r I n
lærisveina	l ai: r I s v ei: n a
lærisveinum	l ai: r I s v ei: n Y m
lærst	l ai r_0 s t
lært	l ai r_0 t
lærum	l ai r Y m
lærð	l ai r D
lærða	l ai r D a
lærði	l ai r D I
lærðir	l ai r D I r
lærðirðu	l ai r D I r Y
lærðist	l ai r D I s t
lærðu	l ai r D Y
lærðum	l ai r D Y m
lærður	l ai r D Y r
læs	l ai: s
læsa	l ai: s a
læsi	l ai: s I
læsir	l ai: s I r
læst	l ai s t
læsta	l ai s t a
læstar	l ai s t a r
læsti	l ai s t I
læstist	l ai s t I s t
læstu	l ai s t Y
læstur	l ai s t Y r
læt	l ai: t
læti	l ai: t I
lætin	l ai: t I n
lætur	l ai: t Y r
læturðu	l ai: t Y r D Y
lævís	l ai: v i s
læða	l ai D a
læðast	l ai D a s t
læðingi	l ai D i J c I
læðir	l ai: D I r
læðist	l ai: D I s t
læðst	l ai D s t
læðuna	l ai D Y n a
lék	l j E: k
léki	l j E: c I
lékst	l j E x s t
léku	l j E: k Y
lékum	l j E: k Y m
léleg	l j E: l E G
lélega	l j E: l E G a
lélegar	l j E: l E G a r
lélegir	l j E: l ei j I r
lélegri	l j E: l E G r I
lélegt	l j E: l E x t
lélegu	l j E: l E G Y
lélegum	l j E: l E G Y m
lélegur	l j E: l E G Y r
lémagna	l j E: m a k n a
lést	l j E s t
léstu	l j E s t Y
lét	l j E: t
léti	l j E: t I
létt	l j E h t
létta	l j E h t a
léttan	l j E h t a n
léttar	l j E h t a r
léttara	l j E h t a r a
léttari	l j E h t a r I
léttast	l j E h t a s t
léttfætt	l j E h t f ai h t
létti	l j E h t I
léttilega	l j E h t I l E G a
léttir	l j E h t I r
léttirinn	l j E h t I r I n
léttis	l j E h t I s
léttist	l j E h t I s t
léttleika	l j E h t l ei k a
léttleiki	l j E h t l ei c I
léttleikinn	l j E h t l ei c I n
